timestamp,open,high,low,close,volume,symbol,ticker
2025-01-09T08:00:00.000Z,3.7454,3.7539,3.7233,3.7288,8956.8,RUNE/USDC:USDC,RUNE
2025-01-09T08:00:00.000Z,0.4304,0.43205,0.4297,0.43051,24232.0,kDOGS/USDC:USDC,kDOGS
2025-01-09T08:00:00.000Z,0.29953,0.30039,0.29815,0.29937,30724.0,CATI/USDC:USDC,CATI
2025-01-09T08:00:00.000Z,0.37981,0.3809,0.3785,0.37963,95812.0,SEI/USDC:USDC,SEI
2025-01-09T08:00:00.000Z,0.63538,0.63909,0.63494,0.63704,3134.0,CELO/USDC:USDC,CELO
2025-01-09T08:00:00.000Z,0.45324,0.45406,0.45151,0.45309,31953.0,POL/USDC:USDC,POL
2025-01-09T08:15:00.000Z,3.72,3.7489,3.7149,3.7452,13155.8,RUNE/USDC:USDC,RUNE
2025-01-09T08:15:00.000Z,3.0741,3.085,3.0741,3.075,876.3,CYBER/USDC:USDC,CYBER
2025-01-09T08:15:00.000Z,57.176,57.486,57.135,57.328,48.78,TRB/USDC:USDC,TRB
2025-01-09T08:15:00.000Z,0.43125,0.43327,0.43123,0.43237,4438.0,kDOGS/USDC:USDC,kDOGS
2025-01-09T08:15:00.000Z,0.29864,0.3016,0.29864,0.29995,5346.0,CATI/USDC:USDC,CATI
2025-01-09T08:15:00.000Z,0.1947,0.19794,0.1947,0.19621,247210.0,MOODENG/USDC:USDC,MOODENG
2025-01-09T08:15:00.000Z,4.7017,4.7299,4.7017,4.7137,8380.0,ZRO/USDC:USDC,ZRO
2025-01-09T08:15:00.000Z,6.5742,6.6179,6.5742,6.6051,2925.4,DOT/USDC:USDC,DOT
2025-01-09T08:15:00.000Z,0.3784,0.38207,0.3784,0.38118,13799.0,SEI/USDC:USDC,SEI
2025-01-09T08:15:00.000Z,0.037888,0.038264,0.037888,0.038014,9490.0,NEIROETH/USDC:USDC,NEIROETH
2025-01-09T08:15:00.000Z,0.63879,0.63965,0.63793,0.63897,564.0,CELO/USDC:USDC,CELO
2025-01-09T08:15:00.000Z,0.36445,0.36902,0.36445,0.36738,70375.0,GOAT/USDC:USDC,GOAT
2025-01-09T08:15:00.000Z,0.45179,0.45451,0.45179,0.4536,7693.0,POL/USDC:USDC,POL
2025-01-09T08:15:00.000Z,0.22054,0.22222,0.22048,0.2222,5115.0,PURR/USDC:USDC,PURR
2025-01-09T08:15:00.000Z,41.368,41.783,41.368,41.736,26.6,BANANA/USDC:USDC,BANANA
2025-01-09T08:15:00.000Z,0.82358,0.83086,0.82358,0.82787,1458.5,SCR/USDC:USDC,SCR
2025-01-09T08:15:00.000Z,0.77394,0.78343,0.77394,0.78011,33737.0,kNEIRO/USDC:USDC,kNEIRO
2025-01-09T08:15:00.000Z,0.00279,0.002853,0.00279,0.002822,4019531.0,HMSTR/USDC:USDC,HMSTR
2025-01-09T08:30:00.000Z,2.4979,2.5484,2.4973,2.5484,4603.3,GRASS/USDC:USDC,GRASS
2025-01-09T08:30:00.000Z,3.7441,3.802,3.7398,3.7857,21807.9,RUNE/USDC:USDC,RUNE
2025-01-09T08:30:00.000Z,3.068,3.1176,3.065,3.1104,143.2,CYBER/USDC:USDC,CYBER
2025-01-09T08:30:00.000Z,57.191,58.047,57.191,57.803,37.54,TRB/USDC:USDC,TRB
2025-01-09T08:30:00.000Z,0.43192,0.43936,0.43192,0.43761,12071.0,kDOGS/USDC:USDC,kDOGS
2025-01-09T08:30:00.000Z,0.10546,0.10692,0.10536,0.10675,6261.0,OGN/USDC:USDC,OGN
2025-01-09T08:30:00.000Z,0.62554,0.62808,0.62206,0.62732,9184.0,ARK/USDC:USDC,ARK
2025-01-09T08:30:00.000Z,0.29893,0.30447,0.29893,0.30299,3553.0,CATI/USDC:USDC,CATI
2025-01-09T08:30:00.000Z,0.19635,0.20142,0.19635,0.20036,251921.0,MOODENG/USDC:USDC,MOODENG
2025-01-09T08:30:00.000Z,4.7023,4.7921,4.7023,4.7727,1342.2,ZRO/USDC:USDC,ZRO
2025-01-09T08:30:00.000Z,6.5951,6.686,6.5929,6.6612,973.2,DOT/USDC:USDC,DOT
2025-01-09T08:30:00.000Z,0.38017,0.38601,0.3797,0.38481,31229.0,SEI/USDC:USDC,SEI
2025-01-09T08:30:00.000Z,2.7022,2.731,2.699,2.7254,436.5,FTT/USDC:USDC,FTT
2025-01-09T08:30:00.000Z,0.037958,0.038712,0.037923,0.038576,11840.0,NEIROETH/USDC:USDC,NEIROETH
2025-01-09T08:30:00.000Z,0.63852,0.64758,0.63773,0.64516,2445.0,CELO/USDC:USDC,CELO
2025-01-09T08:30:00.000Z,0.63506,0.64317,0.63506,0.64232,1155.0,BNT/USDC:USDC,BNT
2025-01-09T08:30:00.000Z,0.36641,0.37658,0.36641,0.37485,84553.0,GOAT/USDC:USDC,GOAT
2025-01-09T08:30:00.000Z,0.45298,0.46046,0.45274,0.45996,30758.0,POL/USDC:USDC,POL
2025-01-09T08:30:00.000Z,0.22238,0.22556,0.22071,0.22556,119855.0,PURR/USDC:USDC,PURR
2025-01-09T08:30:00.000Z,0.58166,0.59322,0.58084,0.5908,39373.0,SAND/USDC:USDC,SAND
2025-01-09T08:30:00.000Z,41.675,42.496,41.648,42.477,37.9,BANANA/USDC:USDC,BANANA
2025-01-09T08:30:00.000Z,0.053857,0.054723,0.053852,0.054501,36554.0,RDNT/USDC:USDC,RDNT
2025-01-09T08:30:00.000Z,0.55256,0.56687,0.55103,0.56244,113238.9,PNUT/USDC:USDC,PNUT
2025-01-09T08:30:00.000Z,0.40336,0.40776,0.40238,0.40647,165083.0,XLM/USDC:USDC,XLM
2025-01-09T08:30:00.000Z,0.82609,0.84181,0.82609,0.8386,1274.1,SCR/USDC:USDC,SCR
2025-01-09T08:30:00.000Z,0.77713,0.79819,0.77695,0.79306,57746.7,kNEIRO/USDC:USDC,kNEIRO
