timestamp,funding_rate,symbol
2023-05-12T00:00:00.048Z,-1.98175E-5,KPEPE
2023-05-12T08:00:00.388Z,-4.433941E-4,KPEPE
2023-05-12T16:00:00.253Z,-7.22055E-4,KPEPE
2023-05-13T00:00:00.278Z,-0.0021464217,KPEPE
2023-05-13T08:00:00.255Z,-0.0014825534,KPEPE
2023-05-13T16:00:00.054Z,-0.0035496953,KPEPE
2023-05-14T00:00:00.087Z,-0.00308029,KPEPE
2023-05-14T08:00:00.271Z,-0.003082812,KPEPE
2023-05-14T16:00:00.380Z,-0.0025073015,KPEPE
2023-05-15T00:00:00.374Z,-0.0018263825,KPEPE
2023-05-15T08:00:00.045Z,-0.001504545,KPEPE
2023-05-15T16:00:00.409Z,-0.0015483288,KPEPE
2023-05-16T00:00:00.447Z,-0.0011849233,KPEPE
2023-05-16T08:00:00.126Z,-0.0012234613,KPEPE
2023-05-16T16:00:00.731Z,-0.0011776446,KPEPE
2023-05-17T00:00:00.067Z,-0.0022292641,KPEPE
2023-05-17T08:00:00.279Z,-0.0017651568,KPEPE
2023-05-17T16:00:00.024Z,-0.0011380223,KPEPE
2023-05-18T00:00:00.048Z,8.70422E-5,KPEPE
2023-05-18T08:00:00.038Z,-6.643501E-4,KPEPE
2023-05-18T16:00:00.052Z,-0.0013757272,KPEPE
2023-05-19T00:00:00.026Z,-0.0014416184,KPEPE
2023-05-19T08:00:00.158Z,-0.001778113,KPEPE
2023-05-19T16:00:00.396Z,-0.0010106324,KPEPE
2023-05-20T00:00:00.029Z,-6.699549E-4,KPEPE
2023-05-20T08:00:00.111Z,-3.760549E-4,KPEPE
2023-05-20T16:00:00.345Z,-0.0012647507,KPEPE
2023-05-21T00:00:00.095Z,-0.0010011078,KPEPE
2023-05-21T08:00:00.013Z,-0.00100608,KPEPE
2023-05-21T16:00:00.088Z,-7.149602E-4,KPEPE
2023-05-22T00:00:00.066Z,-0.0011504652,KPEPE
2023-05-22T08:00:00.290Z,-5.710143E-4,KPEPE
2023-05-22T16:00:00.159Z,-6.56873E-4,KPEPE
2023-05-23T00:00:00.022Z,-3.935531E-4,KPEPE
2023-05-23T08:23:53.040Z,-3.257068E-4,KPEPE
2023-05-23T16:00:00.079Z,-5.303511E-4,KPEPE
2023-05-24T00:00:00.035Z,-5.870437E-4,KPEPE
2023-05-24T08:00:00.002Z,-2.233715E-4,KPEPE
2023-05-24T16:00:00.001Z,-5.130639E-4,KPEPE
2023-05-25T00:00:00.233Z,-6.380925E-4,KPEPE
2023-05-25T08:00:00.374Z,-2.132974E-4,KPEPE
2023-05-25T16:00:00.209Z,-4.583243E-4,KPEPE
2023-05-26T00:00:00.136Z,-3.413009E-4,KPEPE
2023-05-26T08:00:00.044Z,-3.446872E-4,KPEPE
2023-05-26T16:00:00.180Z,-5.71813E-5,KPEPE
2023-05-27T00:00:00.015Z,-1.449011E-4,KPEPE
2023-05-27T08:00:00.106Z,1.0E-4,KPEPE
2023-05-27T16:00:00.044Z,1.0E-4,KPEPE
2023-05-28T00:00:00.362Z,1.0E-4,KPEPE
2023-05-28T08:00:00.081Z,9.48527E-5,KPEPE
